,No,page,nick,time,content,area,ip,ip_loc,length,against,agree,channel,hot,level,login_type,media_type,mid
175,176,9,生活应该是美好而温柔的,2018-08-09 22:35:13,大学毕业后的心理问题有必要治疗吗？会随着时间慢慢好起来吗？,河南安阳,115.48.27.223,"河南省安阳市 联通 * GeoIP: Anyang, Henan, China * China Unicom Henan",29,1533825313,0,cj,0,0,0,0,5B6C5120-73301BDF-E59296DB-8C5-957
176,177,9,十陵第一建筑施工队,2018-08-09 22:22:57,两个人只生活在一起，不用结婚证生娃啥的了。爱情还是要得,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",37,1533824576,0,cj,0,1,0,0,5B6C4E3E-76768189-170CCB600-8C5-907
177,178,9,HERMIONZI,2018-08-09 22:22:20,[并不简单]说的是！,新疆乌鲁木齐,221.181.52.134,新疆自治区乌鲁木齐市 移动 * GeoIP: China * China Mobile Guangdong,20,1533824539,0,cj,0,2,0,0,5B6C4E19-DDB53486-1364CE351-8C5-89A
178,179,9,十陵第一建筑施工队,2018-08-09 22:19:59,没错没错,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",15,1533824399,0,cj,0,1,0,0,5B6C4D8E-76768189-170CCB600-8C5-907
179,180,9,十陵第一建筑施工队,2018-08-09 22:16:55,买不起房的我[泪][泪],四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",22,1533824215,0,cj,0,1,0,0,5B6C4CD6-76768189-170CCB600-8C5-907
180,181,10,十陵第一建筑施工队,2018-08-09 22:15:30,直接领,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",12,1533824130,0,cj,0,1,0,0,5B6C4C82-76768189-170CCB600-8C5-907
181,182,10,十陵第一建筑施工队,2018-08-09 22:14:54,我没吃他的穿他的。何错之有,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",20,1533824094,3,cj,0,1,0,0,5B6C4C5E-76768189-170CCB600-8C5-907
182,183,10,十陵第一建筑施工队,2018-08-09 22:13:37,我也想，但是我有那个能力吗[摊手][摊手],四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",38,1533824017,1,cj,0,1,0,0,5B6C4C11-76768189-170CCB600-8C5-907
183,184,10,十陵第一建筑施工队,2018-08-09 22:12:44,现在好多人一辈子房奴，还几十年的都有,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",30,1533823964,0,cj,0,1,0,0,5B6C4BD8-76768189-170CCB600-8C5-907
184,185,10,十陵第一建筑施工队,2018-08-09 22:11:49,现在房价就没有低于一万的了吧，有都很少,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",35,1533823909,0,cj,0,1,0,0,5B6C4BA4-76768189-170CCB600-8C5-907
185,186,10,江花醉月,2018-08-09 22:03:46,感受颇深,江西赣州,111.75.44.229,"江西省赣州市 电信 * GeoIP: Ganzhou, Jiangxi, China * China Telecom Jiangxi",4,1533823426,0,cj,0,0,0,0,5B6C49C2-6F4B2CE5-7710F2F2-8C5-9AA
186,187,10,我是帅哥_璇哥哥,2018-08-09 21:56:14,我也不借，但是他这觉得正常消费是不对的，我就不能忍，累死累活赚点钱还不能花的舒服吗~~~,福建龙岩,117.31.183.175,"福建省龙岩市 电信 * GeoIP: Longyan, Fujian, China * China Telecom fujian",58,1533822974,0,cj,0,1,0,0,5B6C47FD-751FB7AF-462BF5DE-8C5-7F6
187,188,10,锌楠神,2018-08-09 21:35:51,@Asuka---02  真滴牛批,黑龙江哈尔滨,113.5.4.12,"黑龙江省哈尔滨市 联通 * GeoIP: Harbin, Heilongjiang, China * China Unicom Heilongjiang",17,1533821750,0,cj,0,0,0,0,5B6C4336-7105040C-13DDE082F-8C5-8F9
188,189,10,高处胜寒_,2018-08-09 20:49:45,杠杆率那么大都在哪儿了你们自己心里没有b数吗[费解],北京海淀,118.199.2.52,"北京市 鹏博士 * GeoIP: Beijing, China * China Telecom Beijing",26,1533818984,0,cj,0,0,0,0,5B6C3868-76C70234-12DD30D69-8C5-792
189,190,10,Ruler丿,2018-08-09 20:36:21,不说了 我还有30年的房贷还没还[doge],浙江,112.17.244.66,"浙江省 移动 * GeoIP: Hangzhou, Zhejiang, China * China Mobile",22,1533818181,0,cj,0,0,0,0,5B6C3544-7011F442-9B2DD721-8C5-802
190,191,10,nightfall沉淀,2018-08-09 19:21:57,背上，匍匐前进,陕西西安,123.138.232.124,"陕西省汉中市 联通 * GeoIP: Xian, Shaanxi, China * China Unicom Shannxi province network",20,1533813717,0,cj,0,2,0,0,5B6C23D0-7B8AE87C-8B038E79-8C5-97C
191,192,10,蜡笔猪小呆,2018-08-09 18:49:04,人在家中坐，锅从天上来,云南昆明,117.136.85.13,"云南省 移动 * GeoIP: Kunming, Yunnan, China * China Mobile Guangdong",11,1533811744,2,cj,0,0,0,0,5B6C1C1B-7588550D-6C230905-8C5-92B
192,193,10,手机用户9274694927,2018-08-09 18:35:54,我低调,上海,223.104.210.127,"上海市 移动 * GeoIP: Shanghai, China * Shanghai Mobile Communications Co.,Ltd.",11,1533810954,0,cj,0,1,0,0,5B6C1908-DF68D27F-6A64AE0B-8C5-860
193,194,10,北郭先生_Morning,2018-08-09 18:35:45,可能是50年代生的年轻人吧！,辽宁丹东,112.40.176.99,"辽宁省丹东市 移动 * GeoIP: Dandong, Liaoning, China * China Mobile",14,1533810945,0,cj,0,0,0,0,5B6C1901-7028B063-716578EC-8C5-91F
194,195,10,福建商业一城,2018-08-09 17:54:33,喝星巴克才多少钱[吃瓜]我觉得我死命消费一年也不到一万,福建,220.249.162.62,"福建省福州市 联通 * GeoIP: Fuzhou, Fujian, China * China Unicom FuJian",27,1533808472,0,cj,0,0,0,0,5B6C0F57-DCF9A23E-66EBB43B-8C5-8F3
195,196,10,nightfall沉淀,2018-08-09 17:34:17,背,陕西西安,1.83.3.172,"陕西省西安市 电信 * GeoIP: Xian, Shaanxi, China * China Telecom SHAANXI",1,1533807257,0,cj,0,0,0,0,5B6C0A98-15303AC-8B038E79-8C5-97C
196,197,10,樱狼永恒,2018-08-09 17:03:29,用了还不是要还的，物价飞涨，人民币贬值，我同样的钱现在能买的东西过段时间可能就买不了了，为什么不现在买,四川成都,139.207.28.2,"四川省成都市 电信 * GeoIP: Shifang, Sichuan, China * China Telecom",51,1533805409,1,cj,0,0,0,0,5B6C0361-8BCF1C02-5E31E422-8C5-838
197,198,10,木花篱,2018-08-09 16:50:17,钱要是够花谁他妈借？车子，房子，结婚有几个人一把掏不贷款？,上海,222.65.171.124,"上海市 电信 * GeoIP: Shanghai, China * China Telecom Shanghai",29,1533804617,1,cj,0,0,0,0,5B6C0049-DE41AB7C-15292F06A-8C5-911
198,199,10,洛洛洛-沉迷哈蛋无法自拔,2018-08-09 16:49:27,总之，什么屎盆子都往年轻人头上扣就对了，80后是被如此对待的，现在轮到90后，00后或许在80后掌控言论之后会好点吧[拜拜],甘肃兰州,61.178.15.104,"甘肃省兰州市 电信 * GeoIP: Lanzhou, Gansu, China * China Telecom Gansu",62,1533804567,1,cj,0,0,0,0,5B6C0013-3DB20F68-E890AC76-8C5-8A8
199,200,10,门外种着一棵歪脖子树,2018-08-09 16:30:00,大猪蹄子,江苏南通,112.21.78.140,"江苏省南通市 移动 * GeoIP: Nantong, Jiangsu, China * China Mobile",4,1533803400,0,cj,0,0,0,0,5B6BFB87-70154E8C-CA63DADC-8C5-7B5
